"Marker","pAUC","pAUC_low","pAUC_hi","Biomarker"
"MAGED1",0.00734126984126984,0.000396825396825395,0.0202380952380952,"No"
"MANF",0.0107142857142857,0.00178571428571429,0.0301587301587301,"No"
"MANSC1",0.00277777777777778,0,0.0150793650793651,"No"
"MAP2K6",0.0168650793650794,0.00456349206349206,0.0343253968253968,"No"
"MAP3K5",0.0130952380952381,0.00198412698412698,0.0311507936507936,"No"
"MAP4K5",0.00198412698412698,0,0.0214295634920633,"No"
"MAPK9",0.0158730158730159,0.00357142857142857,0.0327380952380952,"No"
"MAPT",0.00932539682539683,0,0.0293660714285713,"No"
"MARCO",0.0121031746031746,0.00178571428571429,0.0303571428571428,"No"
"MASP1",0.014484126984127,0.00357142857142857,0.031547619047619,"No"
"MATN2",0.0111111111111111,0.00119047619047619,0.0365079365079365,"No"
"MATN3",0.00753968253968254,0,0.0303581349206348,"No"
"MAVS",0.010515873015873,0.000594246031746039,0.0285714285714286,"No"
"MAX",0.0107142857142857,0.00118948412698413,0.029564484126984,"No"
"MB",0.00496031746031746,0,0.0160714285714286,"No"
"MCAM",0.00277777777777778,0,0.0299623015873012,"No"
"MCFD2",0.00257936507936508,0,0.0128978174603173,"No"
"MDGA1",0.00476190476190476,0,0.0224206349206349,"No"
"MDK",0.00813492063492063,0.000396825396825395,0.0240079365079365,"No"
"MED18",0.00714285714285714,0,0.0248015873015873,"No"
"MEGF10",0.00357142857142857,0,0.0168650793650794,"No"
"MEGF9",0.00297619047619048,0,0.0170634920634921,"No"
"MEP1B",0.00833333333333333,0.000595238095238093,0.023612103174603,"No"
"MEPE",0.00198412698412698,0,0.0144851190476189,"No"
"MERTK",0.00456349206349206,0,0.0206359126984125,"No"
"MESD",0.0232142857142857,0.00297619047619047,0.0519851190476189,"No"
"MET",0.00892857142857143,0,0.0317470238095236,"No"
"METAP1",0.0192460317460317,0.00575396825396826,0.0373015873015873,"Yes"
"METAP1D",0.00496031746031746,0,0.0228174603174603,"No"
"METAP2",0.0134920634920635,0.00317460317460317,0.032143849206349,"No"
"MFAP3",0.0117063492063492,0.00119047619047619,0.0299603174603174,"No"
"MFAP5",0.00297619047619048,0,0.023015873015873,"No"
"MFGE8",0.0109126984126984,0.00119047619047619,0.0267857142857143,"No"
"MGLL",0.00853174603174603,0.000396825396825395,0.0251984126984127,"No"
"MGMT",0.00634920634920635,0,0.0226200396825395,"No"
"MIA",0.0126984126984127,0.00218253968253968,0.029564484126984,"No"
"MICB_MICA",0.00714285714285714,0,0.0220238095238095,"No"
"MIF",0.0166666666666667,0.00337301587301587,0.036112103174603,"No"
"MILR1",0.014484126984127,0.00178571428571429,0.0410714285714286,"No"
"MITD1",0.00694444444444444,0,0.0373015873015873,"No"
"MLN",0.00317460317460317,0,0.0218253968253968,"No"
"MME",0.00357142857142857,0,0.0174603174603175,"No"
"MMP1",0.00396825396825397,0,0.0154761904761905,"No"
"MMP10",0.00833333333333333,0,0.0303571428571428,"No"
"MMP12",0.00535714285714286,0,0.0309533730158729,"No"
"MMP13",0.00138888888888889,0,0.0176587301587302,"No"
"MMP3",0.00238095238095238,0,0.0142857142857143,"No"
"MMP7",0.0111111111111111,0.000198412698412698,0.0329374999999998,"No"
"MMP8",0.0303571428571428,0.00297619047619047,0.0547628968253967,"No"
"MMP9",0.0194444444444444,0.00357142857142857,0.0410714285714286,"No"
"MNDA",0.0202380952380952,0.00158730158730158,0.0476200396825395,"No"
"MOG",0.0101190476190476,0.00119047619047619,0.025,"No"
"MPHOSPH8",0.00555555555555555,0,0.0255952380952381,"No"
"MPI",0.00496031746031746,0,0.0285714285714286,"No"
"MPIG6B",0.00753968253968254,0.000198412698412698,0.0220238095238095,"No"
"MPO",0.0202380952380952,0.00119047619047619,0.0462301587301587,"No"
"MRPL46",0.0134920634920635,0.00178571428571429,0.0327380952380952,"No"
"MSLN",0.00476190476190476,0,0.0238095238095238,"No"
"MSMB",0.00277777777777777,0,0.0196428571428571,"No"
"MSR1",0.00555555555555555,0,0.0281746031746032,"No"
"MSRA",0.0150793650793651,0.00198412698412698,0.041468253968254,"No"
